        Theta / deg                Directivity,Phi=90.0/
----------------------------------------------------------------------
                    -180                       2.3832305
                    -175                        2.481677
                    -170                       2.5557429
                    -165                       2.6065758
                    -160                       2.6356923
                    -155                       2.6449562
                    -150                       2.6365532
                    -145                       2.6129611
                    -140                       2.5769108
                    -135                       2.5313376
                    -130                       2.4793193
                    -125                           2.424
                    -120                       2.3685007
                    -115                       2.3158165
                    -110                       2.2687056
                    -105                       2.2295756
                    -100                       2.2003749
                     -95                       2.1824989
                     -90                       2.1767189
                     -85                        2.183144
                     -80                       2.2012123
                     -75                       2.2297248
                     -70                       2.2669079
                     -65                       2.3105009
                     -60                       2.3578606
                     -55                       2.4060742
                     -50                       2.4520699
                     -45                        2.492722
                     -40                       2.5249432
                     -35                       2.5457639
                     -30                       2.5523983
                     -25                        2.542297
                     -20                       2.5131893
                     -15                       2.4631173
                     -10                       2.3904644
                      -5                       2.2939806
                       0                       2.1728084
                       5                       2.0265074
                      10                       1.8550676
                      15                       1.6590321
                      20                       1.4394671
                      25                       1.1980596
                      30                      0.93720372
                      35                      0.66010324
                      40                      0.37088619
                      45                     0.074721179
                      50                      -0.2220862
                      55                     -0.51205214
                      60                     -0.78657883
                      65                      -1.0361853
                      70                      -1.2509617
                      75                      -1.4212706
                      80                      -1.5386532
                      85                      -1.5968057
                      90                      -1.5924073
                      95                       -1.525628
                     100                      -1.4000541
                     105                      -1.2221955
                     110                       -1.000619
                     115                     -0.74497229
                     120                     -0.46509955
                     125                     -0.17036898
                     130                      0.13075227
                     135                      0.43090617
                     140                      0.72389279
                     145                       1.0046208
                     150                       1.2690081
                     155                       1.5138659
                     160                        1.736787
                     165                       1.9360462
                     170                       2.1105192
                     175                       2.2596167
                     180                       2.3832305

