        Theta / deg                Directivity,Phi=90.0/
----------------------------------------------------------------------
                    -180                       2.1162075
                    -175                       2.1651221
                    -170                       2.2058917
                    -165                       2.2384717
                    -160                       2.2630369
                    -155                       2.2799685
                    -150                        2.289835
                    -145                        2.293369
                    -140                       2.2914384
                    -135                       2.2850151
                    -130                       2.2751395
                    -125                       2.2628837
                    -120                       2.2493132
                    -115                       2.2354487
                    -110                       2.2222294
                    -105                        2.210479
                    -100                       2.2008752
                     -95                        2.193925
                     -90                       2.1899455
                     -85                       2.1890532
                     -80                       2.1911575
                     -75                       2.1959674
                     -70                       2.2030013
                     -65                       2.2116059
                     -60                       2.2209818
                     -55                       2.2302134
                     -50                       2.2383037
                     -45                       2.2442116
                     -40                       2.2468908
                     -35                       2.2453279
                     -30                       2.2385803
                     -25                       2.2258112
                     -20                       2.2063213
                     -15                       2.1795764
                     -10                       2.1452303
                      -5                       2.1031424
                       0                       2.0533892
                       5                       1.9962331
                      10                       1.9322547
                      15                       1.8621723
                      20                       1.7869293
                      25                       1.7076553
                      30                       1.6256419
                      35                       1.5423143
                      40                       1.4591974
                      45                       1.3778794
                      50                       1.2999713
                      55                       1.2270656
                      60                       1.1606936
                      65                       1.1022839
                      70                       1.0531219
                      75                       1.0143134
                      80                      0.98675163
                      85                      0.97109077
                      90                      0.96772743
                      95                      0.97677907
                     100                      0.99809196
                     105                       1.0312361
                     110                       1.0755188
                     115                       1.1300045
                     120                       1.1935411
                     125                       1.2647937
                     130                       1.3422823
                     135                       1.4244236
                     140                       1.5095755
                     145                        1.596081
                     150                       1.6823127
                     155                        1.766714
                     160                       1.8478376
                     165                       1.9243795
                     170                       1.9952078
                     175                       2.0593862
                     180                       2.1162075

