        Theta / deg                Directivity,Phi=0.0/
----------------------------------------------------------------------
                    -180                       2.3598084
                    -175                       2.4450938
                    -170                       2.4492267
                    -165                       2.3706503
                    -160                       2.2078559
                    -155                       1.9592209
                    -150                       1.6228278
                    -145                       1.1962686
                    -140                      0.67645177
                    -135                     0.059456086
                    -130                     -0.65946247
                    -125                      -1.4854597
                    -120                      -2.4227105
                    -115                      -3.4707202
                    -110                      -4.6154896
                    -105                      -5.8102537
                    -100                      -6.9407696
                     -95                      -7.7913287
                     -90                      -8.0930794
                     -85                      -7.7231191
                     -80                      -6.8335271
                     -75                      -5.6949435
                     -70                      -4.5108938
                     -65                      -3.3854904
                     -60                      -2.3601857
                     -55                      -1.4467088
                     -50                     -0.64474216
                     -45                     0.050080796
                     -40                      0.64287029
                     -35                       1.1382543
                     -30                       1.5400383
                     -25                       1.8512264
                     -20                       2.0741791
                     -15                       2.2108092
                     -10                        2.262779
                      -5                       2.2316811
                       0                       2.1192024
                       5                       1.9273117
                      10                       1.6582509
                      15                       1.3148652
                      20                      0.90061537
                      25                      0.41975432
                      30                      -0.1224949
                      35                     -0.71971299
                      40                      -1.3639836
                      45                      -2.0454859
                      50                      -2.7519484
                      55                       -3.467947
                      60                      -4.1740854
                      65                      -4.8462276
                      70                      -5.4551899
                      75                       -5.967604
                      80                      -6.3488189
                      85                      -6.5682275
                      90                      -6.6059769
                      95                      -6.4583246
                     100                       -6.138718
                     105                      -5.6739508
                     110                      -5.0976193
                     115                      -4.4439842
                     120                      -3.7440461
                     125                      -3.0239322
                     130                      -2.3048225
                     135                       -1.603596
                     140                     -0.93366334
                     145                     -0.30572974
                     150                      0.27159263
                     155                      0.79132361
                     160                        1.247776
                     165                       1.6363054
                     170                       1.9531203
                     175                       2.1951293
                     180                       2.3598084

