        Theta / deg                Directivity,Phi=45.0/
----------------------------------------------------------------------
                    -180                       1.8808738
                    -175                       1.9124665
                    -170                       1.8780087
                    -165                        1.776967
                    -160                       1.6088037
                    -155                       1.3729528
                    -150                        1.068811
                    -145                      0.69576182
                    -140                       0.2532706
                    -135                     -0.25888846
                    -130                     -0.84015978
                    -125                      -1.4882968
                    -120                      -2.1976953
                    -115                      -2.9564901
                    -110                      -3.7418599
                    -105                      -4.5134488
                    -100                      -5.2069163
                     -95                       -5.734522
                     -90                      -6.0041043
                     -85                      -5.9584332
                     -80                      -5.6084747
                     -75                      -5.0266234
                     -70                      -4.3073009
                     -65                      -3.5323567
                     -60                      -2.7586479
                     -55                      -2.0206398
                     -50                      -1.3373341
                     -45                     -0.71834724
                     -40                     -0.16801747
                     -35                      0.31212364
                     -30                      0.72195574
                     -25                        1.062018
                     -20                       1.3331247
                     -15                       1.5361832
                     -10                       1.6721205
                      -5                       1.7418644
                       0                       1.7463496
                       5                         1.68663
                      10                       1.5635405
                      15                       1.3781883
                      20                       1.1316839
                      25                      0.82522505
                      30                      0.46014015
                      35                      0.03797368
                      40                     -0.43934855
                      45                     -0.96921797
                      50                      -1.5478172
                      55                        -2.16924
                      60                      -2.8240858
                      65                      -3.4973579
                      70                      -4.1656479
                      75                      -4.7941393
                      80                       -5.335196
                      85                      -5.7319504
                      90                      -5.9303001
                      95                      -5.8974129
                     100                      -5.6362973
                     105                       -5.184462
                     110                      -4.5980387
                     115                      -3.9336684
                     120                      -3.2377606
                     125                       -2.543837
                     130                      -1.8743232
                     135                      -1.2435773
                     140                     -0.66061024
                     145                     -0.13107676
                     150                      0.34140582
                     155                      0.75443401
                     160                       1.1063237
                     165                       1.3958221
                     170                       1.6219434
                     175                       1.7838761
                     180                       1.8808738

