        Theta / deg                Directivity,Phi=90.0/
----------------------------------------------------------------------
                    -180                       2.2950423
                    -175                        2.357928
                    -170                       2.3735925
                    -165                       2.3439358
                    -160                       2.2711202
                    -155                       2.1576817
                    -150                       2.0066619
                    -145                       1.8217667
                    -140                       1.6075514
                    -135                       1.3696286
                    -130                       1.1148806
                    -125                      0.85164038
                    -120                      0.58977865
                    -115                      0.34060223
                    -110                      0.11645538
                    -105                     -0.07006858
                    -100                      -0.2073136
                     -95                     -0.28600159
                     -90                       -0.300612
                     -85                     -0.25029617
                     -80                     -0.13902036
                     -75                     0.025111876
                     -70                       0.2311371
                     -65                      0.46668841
                     -60                       0.7192874
                     -55                      0.97726623
                     -50                       1.2302852
                     -45                        1.469518
                     -40                       1.6876147
                     -35                       1.8785432
                     -30                       2.0373816
                     -25                       2.1601073
                     -20                       2.2434039
                     -15                       2.2844951
                     -10                       2.2810054
                      -5                       2.2308442
                       0                       2.1321086
                       5                       1.9830409
                      10                       1.7817774
                      15                       1.5265681
                      20                       1.2155197
                      25                      0.84661125
                      30                      0.41768388
                      35                    -0.073510974
                      40                     -0.62915437
                      45                      -1.2509941
                      50                      -1.9395897
                      55                      -2.6928432
                      60                      -3.5032683
                      65                      -4.3531932
                      70                      -5.2071585
                      75                      -6.0023621
                      80                      -6.6434861
                      85                       -7.017154
                      90                      -7.0379351
                      95                      -6.7005631
                     100                      -6.0835644
                     105                      -5.2998887
                     110                       -4.448011
                     115                      -3.5941956
                     120                       -2.776388
                     125                        -2.01375
                     130                      -1.3145797
                     135                     -0.68139467
                     140                     -0.11384849
                     145                      0.38969172
                     150                      0.83133149
                     155                       1.2132524
                     160                       1.5375394
                     165                       1.8061259
                     170                       2.0208009
                     175                       2.1832476
                     180                       2.2950423

