        Theta / deg                Directivity,Phi=0.0/
----------------------------------------------------------------------
                    -180                       1.9505742
                    -175                       1.9428089
                    -170                       1.8528674
                    -165                       1.6804908
                    -160                       1.4253675
                    -155                       1.0870793
                    -150                      0.66503485
                    -145                      0.15841312
                    -140                     -0.43384191
                    -135                      -1.1128856
                    -130                      -1.8795168
                    -125                      -2.7330373
                    -120                      -3.6686998
                    -115                      -4.6723903
                    -110                      -5.7104117
                    -105                      -6.7126979
                    -100                      -7.5547919
                     -95                      -8.0651973
                     -90                      -8.0986075
                     -85                      -7.6429733
                     -80                       -6.829845
                     -75                       -5.832944
                     -70                      -4.7848673
                     -65                      -3.7623524
                     -60                      -2.8029612
                     -55                      -1.9227038
                     -50                      -1.1271621
                     -45                     -0.41737189
                     -40                      0.20732607
                     -35                      0.74799811
                     -30                       1.2055933
                     -25                       1.5807794
                     -20                       1.8739389
                     -15                       2.0852277
                     -10                       2.2146492
                      -5                       2.2621192
                       0                       2.2275113
                       5                       2.1106634
                      10                        1.911435
                      15                       1.6295425
                      20                       1.2645746
                      25                      0.81584961
                      30                      0.28225942
                      35                      -0.3379228
                      40                      -1.0472581
                      45                      -1.8493389
                      50                      -2.7488585
                      55                      -3.7512823
                      60                      -4.8614554
                      65                      -6.0795446
                      70                      -7.3906157
                      75                      -8.7404857
                      80                      -9.9901439
                      85                      -10.872825
                      90                       -11.07612
                      95                      -10.515628
                     100                      -9.4325802
                     105                       -8.138869
                     110                      -6.8308479
                     115                      -5.5950582
                     120                      -4.4602443
                     125                      -3.4311631
                     130                      -2.5042711
                     135                      -1.6741037
                     140                     -0.93561283
                     145                      -0.2848578
                     150                       0.2809432
                     155                      0.76358601
                     160                       1.1641092
                     165                       1.4830127
                     170                       1.7204412
                     175                       1.8763279
                     180                       1.9505742

