        Theta / deg                Directivity,Phi=0.0/
----------------------------------------------------------------------
                    -180                       1.2642433
                    -175                       1.2444081
                    -170                       1.1926987
                    -165                       1.1090791
                    -160                      0.99426837
                    -155                        0.849776
                    -150                       0.6779439
                    -145                      0.48199353
                    -140                      0.26607571
                    -135                     0.035314875
                    -130                     -0.20416685
                    -125                     -0.44526863
                    -120                     -0.68000444
                    -115                     -0.89970866
                    -110                      -1.0953881
                    -105                      -1.2582369
                    -100                      -1.3802948
                     -95                      -1.4551739
                     -90                       -1.478734
                     -85                       -1.449556
                     -80                      -1.3691149
                     -75                      -1.2415741
                     -70                      -1.0732912
                     -65                     -0.87213724
                     -60                     -0.64677747
                     -55                     -0.40603306
                     -50                     -0.15838828
                     -45                     0.088340674
                     -40                      0.32719493
                     -35                      0.55215537
                     -30                      0.75815482
                     -25                      0.94105046
                     -20                       1.0975778
                     -15                       1.2252998
                     -10                        1.322559
                      -5                       1.3884339
                       0                       1.4227028
                       5                       1.4258331
                      10                       1.3988807
                      15                       1.3435387
                      20                       1.2620719
                      25                       1.1572845
                      30                       1.0324772
                      35                      0.89139536
                      40                      0.73816625
                      45                       0.5772242
                      50                      0.41322185
                      55                      0.25092764
                      60                     0.095109758
                      65                     -0.04959154
                      70                     -0.17880043
                      75                     -0.28854626
                      80                     -0.37540287
                      85                     -0.43661931
                      90                     -0.47023432
                      95                     -0.47516504
                     100                     -0.45127172
                     105                     -0.39937317
                     110                     -0.32122967
                     115                     -0.21948271
                     120                    -0.097557016
                     125                     0.040468924
                     130                      0.19001482
                     135                       0.3461629
                     140                      0.50382444
                     145                      0.65789958
                     150                      0.80342363
                     155                      0.93569545
                     160                       1.0503859
                     165                       1.1436267
                     170                       1.2120807
                     175                       1.2529975
                     180                       1.2642433

