        Theta / deg                Directivity,Phi=45.0/
----------------------------------------------------------------------
                    -180                       2.3244369
                    -175                       2.4083233
                    -170                       2.4151946
                    -165                       2.3457203
                    -160                       2.2009912
                    -155                       1.9825452
                    -150                       1.6924275
                    -145                       1.3333107
                    -140                      0.90871786
                    -135                      0.42341273
                    -130                     -0.11594964
                    -125                      -0.6997918
                    -120                      -1.3140798
                    -115                      -1.9382578
                    -110                      -2.5429551
                    -105                       -3.088521
                    -100                      -3.5265681
                     -95                      -3.8072126
                     -90                      -3.8923835
                     -85                      -3.7697382
                     -80                      -3.4578516
                     -75                      -2.9985258
                     -70                      -2.4422562
                     -65                      -1.8359663
                     -60                      -1.2171322
                     -55                     -0.61310197
                     -50                    -0.042875669
                     -45                      0.48059376
                     -40                      0.94843791
                     -35                       1.3544521
                     -30                       1.6941554
                     -25                       1.9642042
                     -20                       2.1620446
                     -15                       2.2857162
                     -10                       2.3337481
                      -5                       2.3051099
                       0                       2.1991905
                       5                       2.0157313
                      10                       1.7550441
                      15                       1.4177276
                      20                        1.004836
                      25                      0.51785857
                      30                    -0.041245283
                      35                     -0.66996484
                      40                      -1.3650656
                      45                      -2.1222452
                      50                      -2.9354779
                      55                      -3.7958206
                      60                      -4.6893321
                      65                      -5.5936875
                      70                      -6.4732944
                      75                      -7.2739066
                      80                      -7.9207895
                      85                      -8.3285185
                      90                      -8.4282587
                      95                       -8.201048
                     100                       -7.688554
                     105                      -6.9702401
                     110                      -6.1295274
                     115                      -5.2333231
                     120                      -4.3279015
                     125                      -3.4429036
                     130                       -2.596793
                     135                       -1.801175
                     140                      -1.0636229
                     145                       -0.389364
                     150                      0.21777211
                     155                      0.75484221
                     160                       1.2195264
                     165                       1.6100001
                     170                       1.9248778
                     175                       2.1631902
                     180                       2.3244369

