        Theta / deg                Directivity,Phi=0.0/
----------------------------------------------------------------------
                    -180                       1.9585295
                    -175                       1.9153337
                    -170                       1.7981715
                    -165                        1.606335
                    -160                       1.3390409
                    -155                       0.9953884
                    -150                      0.57432154
                    -145                        0.074623
                    -140                     -0.50500808
                    -135                      -1.1656909
                    -130                      -1.9077076
                    -125                      -2.7290688
                    -120                      -3.6225739
                    -115                      -4.5701488
                    -110                      -5.5329186
                    -105                       -6.437021
                    -100                      -7.1630723
                     -95                       -7.563598
                     -90                      -7.5313184
                     -85                      -7.0753881
                     -80                      -6.3139671
                     -75                      -5.3931636
                     -70                      -4.4256092
                     -65                      -3.4790092
                     -60                      -2.5882711
                     -55                      -1.7692858
                     -50                       -1.028177
                     -45                     -0.36648578
                     -40                      0.21616522
                     -35                      0.72078282
                     -30                       1.1484245
                     -25                       1.4999729
                     -20                       1.7760808
                     -15                       1.9771901
                     -10                       2.1035793
                      -5                       2.1554142
                       0                       2.1327895
                       5                       2.0357864
                      10                       1.8644004
                      15                         1.61863
                      20                       1.2984315
                      25                      0.90371098
                      30                      0.43433019
                      35                     -0.10983902
                      40                     -0.72875327
                      45                      -1.4218183
                      50                      -2.1870891
                      55                      -3.0196857
                      60                      -3.9088108
                      65                      -4.8324821
                      70                      -5.7492474
                      75                      -6.5881934
                      80                      -7.2451445
                      85                      -7.6023238
                      90                      -7.5808689
                      95                      -7.1912287
                     100                      -6.5254592
                     105                      -5.7008612
                     110                      -4.8138288
                     115                      -3.9271585
                     120                      -3.0764828
                     125                      -2.2802495
                     130                      -1.5473218
                     135                     -0.88164211
                     140                     -0.28482009
                     145                      0.24251917
                     150                       0.7000735
                     155                       1.0875671
                     160                       1.4046412
                     165                       1.6508344
                     170                       1.8256018
                     175                       1.9283438
                     180                       1.9585295

