        Theta / deg                Directivity,Phi=45.0/
----------------------------------------------------------------------
                    -180                       2.3785659
                    -175                       2.4899761
                    -170                       2.5252706
                    -165                        2.485731
                    -160                       2.3729008
                    -155                       2.1886603
                    -150                       1.9353324
                    -145                       1.6158477
                    -140                       1.2340143
                    -135                      0.79495213
                    -130                      0.30577382
                    -125                     -0.22339444
                    -120                     -0.77798675
                    -115                      -1.3372319
                    -110                      -1.8724638
                    -105                      -2.3465811
                    -100                       -2.716487
                     -95                      -2.9402482
                     -90                       -2.988316
                     -85                      -2.8538361
                     -80                      -2.5553273
                     -75                      -2.1297616
                     -70                      -1.6209509
                     -65                      -1.0698806
                     -60                     -0.50988694
                     -55                      0.03412893
                     -50                      0.54443385
                     -45                       1.0086464
                     -40                       1.4180998
                     -35                        1.766602
                     -30                       2.0495779
                     -25                       2.2635077
                     -20                       2.4055714
                     -15                       2.4734282
                     -10                       2.4650761
                      -5                        2.378757
                       0                       2.2128794
                       5                       1.9660917
                      10                       1.6366129
                      15                       1.2229149
                      20                      0.72302285
                      25                       0.1343753
                      30                     -0.54655072
                      35                      -1.3247815
                      40                       -2.207639
                      45                      -3.2059202
                      50                      -4.3356937
                      55                      -5.6211068
                      60                      -7.0988715
                      65                      -8.8254322
                      70                       -10.88728
                      75                      -13.405552
                      80                      -16.444745
                      85                      -19.221799
                      90                      -18.823028
                      95                      -15.851376
                     100                      -12.945704
                     105                      -10.566529
                     110                      -8.6132096
                     115                      -6.9696735
                     120                      -5.5558626
                     125                      -4.3196768
                     130                      -3.2271875
                     135                      -2.2561024
                     140                      -1.3916814
                     145                     -0.62416049
                     150                     0.052915392
                     155                       0.6438017
                     160                       1.1513094
                     165                        1.577329
                     170                       1.9231985
                     175                       2.1899636
                     180                       2.3785659

