        Theta / deg                Directivity,Phi=0.0/
----------------------------------------------------------------------
                    -180                       1.9385449
                    -175                       1.9267337
                    -170                       1.8356645
                    -165                       1.6659277
                    -160                        1.418224
                    -155                       1.0933849
                    -150                      0.69240589
                    -145                       0.2165229
                    -140                     -0.33261391
                    -135                     -0.95257759
                    -130                      -1.6394528
                    -125                      -2.3865096
                    -120                      -3.1818536
                    -115                      -4.0045346
                    -110                      -4.8188314
                    -105                      -5.5678284
                    -100                      -6.1711719
                     -95                      -6.5369021
                     -90                      -6.5939734
                     -85                       -6.329615
                     -80                       -5.797032
                     -75                      -5.0850445
                     -70                      -4.2804142
                     -65                      -3.4485494
                     -60                      -2.6319767
                     -55                      -1.8561047
                     -50                      -1.1354638
                     -45                      -0.4782611
                     -40                      0.11077243
                     -35                      0.62874182
                     -30                       1.0736941
                     -25                       1.4441557
                     -20                       1.7389072
                     -15                       1.9568847
                     -10                       2.0971408
                      -5                        2.158828
                       0                       2.1411848
                       5                       2.0434671
                      10                       1.8650677
                      15                       1.6051804
                      20                       1.2628647
                      25                      0.83684542
                      30                      0.32530798
                      35                     -0.27436138
                      40                     -0.96589384
                      45                         -1.7545
                      50                      -2.6472171
                      55                      -3.6530598
                      60                      -4.7824562
                      65                      -6.0445461
                      70                       -7.438508
                      75                      -8.9293035
                      80                      -10.389693
                      85                      -11.511071
                      90                      -11.845179
                      95                      -11.215117
                     100                      -9.9504275
                     105                      -8.4777474
                     110                      -7.0337021
                     115                      -5.7037178
                     120                      -4.5062973
                     125                      -3.4369964
                     130                      -2.4856071
                     135                      -1.6420479
                     140                     -0.89805003
                     145                     -0.24736572
                     150                      0.31449579
                     155                      0.79064329
                     160                       1.1831634
                     165                       1.4934272
                     170                       1.7223377
                     175                       1.8705216
                     180                       1.9385449

