        Theta / deg                Directivity,Phi=135.0/
----------------------------------------------------------------------
                    -180                       2.2159282
                    -175                       2.2359039
                    -170                       2.2295819
                    -165                       2.1969425
                    -160                       2.1386845
                    -155                        2.056153
                    -150                       1.9513383
                    -145                       1.8268718
                    -140                       1.6860149
                    -135                       1.5326375
                    -130                       1.3711805
                    -125                       1.2065937
                    -120                       1.0442401
                    -115                      0.88975653
                    -110                      0.74886243
                    -105                      0.62711433
                    -100                      0.52961249
                     -95                      0.46067982
                     -90                      0.42354614
                     -85                      0.42008151
                     -80                      0.45061944
                     -75                      0.51390794
                     -70                      0.60719612
                     -65                      0.72644405
                     -60                      0.86662189
                     -55                       1.0220527
                     -50                       1.1867542
                     -45                       1.3547457
                     -40                       1.5202991
                     -35                       1.6781274
                     -30                       1.8235153
                     -25                       1.9523995
                     -20                       2.0614112
                     -15                       2.1478913
                     -10                       2.2098874
                      -5                       2.2461391
                       0                        2.256038
                       5                       2.2397099
                      10                       2.1977535
                      15                       2.1314549
                      20                       2.0426339
                      25                       1.9336314
                      30                       1.8072682
                      35                       1.6667988
                      40                       1.5158564
                      45                       1.3583874
                      50                       1.1985756
                      55                       1.0407526
                      60                      0.88929581
                      65                      0.74851404
                      70                      0.62252195
                      75                      0.51510776
                      80                      0.42959816
                      85                      0.36872745
                      90                      0.33452157
                      95                      0.32818806
                     100                      0.35006237
                     105                      0.39956535
                     110                      0.47521397
                     115                      0.57467292
                     120                      0.69484651
                     125                      0.83200444
                     130                      0.98193176
                     135                       1.1400918
                     140                       1.3017908
                     145                       1.4623351
                     150                       1.6171729
                     155                        1.762017
                     160                       1.8929464
                     165                        2.006487
                     170                       2.0996741
                     175                       2.1700984
                     180                       2.2159282

