        Theta / deg                Directivity,Phi=0.0/
----------------------------------------------------------------------
                    -180                       2.0173137
                    -175                       2.0173819
                    -170                        1.934871
                    -165                       1.7702673
                    -160                       1.5241588
                    -155                       1.1972292
                    -150                      0.79025455
                    -145                       0.3041294
                    -140                     -0.26002849
                    -135                     -0.90060616
                    -130                      -1.6148951
                    -125                      -2.3978744
                    -120                      -3.2398894
                    -115                      -4.1224894
                    -110                      -5.0116595
                    -105                      -5.8488237
                    -100                      -6.5443981
                     -95                      -6.9870238
                     -90                      -7.0825337
                     -85                      -6.8072644
                     -80                      -6.2240523
                     -75                      -5.4418754
                     -70                      -4.5644054
                     -65                      -3.6660467
                     -60                      -2.7923615
                     -55                      -1.9688096
                     -50                      -1.2089006
                     -45                      -0.5196469
                     -40                     0.095258879
                     -35                      0.63372665
                     -30                       1.0943939
                     -25                       1.4762095
                     -20                        1.778258
                     -15                       1.9997024
                     -10                        2.139779
                      -5                       2.1978089
                       0                       2.1732035
                       5                       2.0654204
                      10                       1.8740594
                      15                       1.5985995
                      20                       1.2384219
                      25                      0.79262754
                      30                      0.25983474
                      35                     -0.36208263
                      40                        -1.07632
                      45                      -1.8875183
                      50                      -2.8021386
                      55                      -3.8286648
                      60                      -4.9771429
                      65                       -6.256695
                      70                      -7.6673013
                      75                      -9.1764202
                      80                      -10.661924
                      85                      -11.820078
                      90                      -12.193996
                      95                      -11.583188
                     100                      -10.310758
                     105                       -8.815115
                     110                       -7.342215
                     115                      -5.9811792
                     120                      -4.7516855
                     125                      -3.6497412
                     130                      -2.6654686
                     135                      -1.7891444
                     140                      -1.0128989
                     145                     -0.33090298
                     150                      0.26091996
                     155                      0.76528783
                     160                       1.1839326
                     165                       1.5179147
                     170                        1.767873
                     175                       1.9342164
                     180                       2.0173137

