        Theta / deg                Directivity,Phi=135.0/
----------------------------------------------------------------------
                    -180                       1.9650724
                    -175                       1.9930536
                    -170                       1.9974267
                    -165                       1.9774142
                    -160                       1.9329672
                    -155                       1.8646911
                    -150                        1.773866
                    -145                       1.6624636
                    -140                       1.5331614
                    -135                       1.3893491
                    -130                       1.2351214
                    -125                        1.075247
                    -120                       0.9150983
                    -115                      0.76052771
                    -110                      0.61767174
                    -105                      0.49267466
                    -100                      0.39133374
                     -95                      0.31868919
                     -90                      0.27860468
                     -85                       0.2734031
                     -80                      0.30362114
                     -75                      0.36794147
                     -70                      0.46331186
                     -65                      0.58523161
                     -60                      0.72814905
                     -55                       0.8859008
                     -50                       1.0521301
                     -45                       1.2206404
                     -40                       1.3856639
                     -35                       1.5420442
                     -30                       1.6853445
                     -25                       1.8118982
                     -20                       1.9188177
                     -15                       2.0039774
                     -10                       2.0659794
                      -5                       2.1041101
                       0                       2.1182811
                       5                       2.1090713
                      10                       2.0773932
                      15                       2.0248137
                      20                       1.9532577
                      25                       1.8650062
                      30                       1.7626363
                      35                       1.6489598
                      40                       1.5269627
                      45                       1.3997455
                      50                       1.2704655
                      55                       1.1422814
                      60                        1.018301
                      65                      0.90153009
                      70                      0.79482299
                      75                      0.70083266
                      80                      0.62195889
                      85                      0.56029373
                      90                      0.51756608
                      95                      0.49507268
                     100                      0.49363022
                     105                      0.51351326
                     110                      0.55441095
                     115                      0.61539877
                     120                      0.69493275
                     125                      0.79087038
                     130                      0.90051995
                     135                       1.0207171
                     140                       1.1479242
                     145                       1.2783468
                     150                       1.4080581
                     155                        1.533126
                     160                       1.6497342
                     165                       1.7542928
                     170                       1.8435356
                     175                        1.914603
                     180                       1.9650724

