        Theta / deg                Directivity,Phi=90.0/
----------------------------------------------------------------------
                    -180                       2.3331201
                    -175                       2.3967643
                    -170                       2.4436763
                    -165                       2.4744449
                    -160                       2.4899985
                    -155                       2.4915782
                    -150                       2.4807049
                    -145                       2.4591416
                    -140                       2.4288504
                    -135                       2.3919422
                    -130                       2.3506204
                    -125                       2.3071187
                    -120                       2.2636329
                    -115                       2.2222499
                    -110                       2.1848755
                    -105                       2.1531646
                    -100                       2.1284569
                     -95                       2.1117231
                     -90                       2.1035243
                     -85                       2.1039901
                     -80                       2.1128069
                     -75                       2.1292396
                     -70                       2.1521587
                     -65                       2.1800888
                     -60                       2.2112676
                     -55                       2.2437147
                     -50                        2.275304
                     -45                       2.3038375
                     -40                       2.3271164
                     -35                       2.3430089
                     -30                       2.3495115
                     -25                       2.3448038
                     -20                        2.327297
                     -15                        2.295676
                     -10                       2.2489358
                      -5                       2.1864128
                       0                       2.1078119
                       5                       2.0132191
                      10                       1.9031387
                      15                       1.7785255
                      20                       1.6407619
                      25                       1.4916834
                      30                       1.3335804
                      35                       1.1691922
                      40                       1.0016863
                      45                      0.83461992
                      50                      0.67187688
                      55                      0.51757535
                      60                      0.37594141
                      65                       0.2511485
                      70                      0.14712693
                      75                     0.067354752
                      80                     0.014648134
                      85                   -0.0090255355
                      90                   -0.0026821071
                      95                     0.033586617
                     100                     0.098648085
                     105                      0.19039409
                     110                      0.30589309
                     115                      0.44158129
                     120                      0.59347221
                     125                      0.75736233
                     130                       0.9290158
                     135                       1.1043182
                     140                        1.279396
                     145                       1.4507032
                     150                       1.6150791
                     155                       1.7697837
                     160                       1.9125154
                     165                       2.0414167
                     170                       2.1550712
                     175                       2.2524947
                     180                       2.3331201

