        Theta / deg                Directivity,Phi=0.0/
----------------------------------------------------------------------
                    -180                       1.2578092
                    -175                        1.224941
                    -170                       1.1883352
                    -165                       1.1488839
                    -160                       1.1073447
                    -155                       1.0643419
                    -150                       1.0203968
                    -145                      0.97597848
                    -140                      0.93156292
                    -135                      0.88768882
                    -130                      0.84499879
                    -125                      0.80425804
                    -120                      0.76634678
                    -115                      0.73222619
                    -110                      0.70288203
                    -105                      0.67925258
                    -100                      0.66215002
                     -95                      0.65218502
                     -90                      0.64970435
                     -85                      0.65475209
                     -80                      0.66704792
                     -75                      0.68600793
                     -70                      0.71078594
                     -65                      0.74033865
                     -60                      0.77350709
                     -55                      0.80910465
                     -50                      0.84600187
                     -45                      0.88319847
                     -40                      0.91987458
                     -35                      0.95541536
                     -30                      0.98940636
                     -25                       1.0216005
                     -20                        1.051862
                     -15                       1.0800953
                     -10                       1.1061726
                      -5                       1.1298708
                       0                       1.1508321
                       5                        1.168496
                      10                        1.182335
                      15                       1.1916424
                      20                       1.1957695
                      25                       1.1941898
                      30                       1.1865955
                      35                       1.1729808
                      40                       1.1537012
                      45                       1.1295041
                      50                       1.1015235
                      55                       1.0712404
                      60                       1.0404088
                      65                       1.0109522
                      70                        0.984838
                      75                      0.96393699
                      80                      0.94988185
                      85                      0.94393554
                      90                      0.94688363
                      95                      0.95896571
                     100                      0.97983723
                     105                       1.0085967
                     110                       1.0438457
                     115                       1.0837898
                     120                       1.1263658
                     125                       1.1693843
                     130                       1.2106731
                     135                       1.2482114
                     140                       1.2802456
                     145                       1.3053784
                     150                        1.322628
                     155                       1.3314545
                     160                       1.3317521
                     165                       1.3238093
                     170                       1.3082424
                     175                       1.2859067
                     180                       1.2578092

