        Theta / deg                Directivity,Phi=135.0/
----------------------------------------------------------------------
                    -180                       1.9695189
                    -175                       1.9246542
                    -170                       1.8377302
                    -165                       1.7088497
                    -160                       1.5388204
                    -155                       1.3291426
                    -150                       1.0820726
                    -145                      0.80072039
                    -140                      0.48918814
                    -135                      0.15275557
                    -130                     -0.20189125
                    -125                     -0.56640486
                    -120                     -0.93054116
                    -115                      -1.2820319
                    -110                       -1.606704
                    -105                       -1.889023
                    -100                      -2.1132142
                     -95                      -2.2649788
                     -90                      -2.3335617
                     -85                      -2.3136316
                     -80                      -2.2063313
                     -75                      -2.0190808
                     -70                      -1.7642114
                     -65                      -1.4569503
                     -60                      -1.1133999
                     -55                     -0.74897359
                     -50                     -0.37744721
                     -45                     -0.01055497
                     -40                      0.34204084
                     -35                      0.67257584
                     -30                      0.97493037
                     -25                       1.2443717
                     -20                       1.4773285
                     -15                       1.6712099
                     -10                       1.8242688
                      -5                        1.935505
                       0                       2.0046148
                       5                       2.0318678
                      10                       2.0182548
                      15                       1.9653025
                      20                       1.8751711
                      25                       1.7506463
                      30                       1.5951594
                      35                       1.4128094
                      40                       1.2083875
                      45                      0.98739339
                      50                      0.75603697
                      55                      0.52120946
                      60                      0.29040508
                      65                     0.071570526
                      70                     -0.12714038
                      75                     -0.29772152
                      80                     -0.43277455
                      85                     -0.52604125
                      90                     -0.57294062
                      95                     -0.57102518
                     100                     -0.52025147
                     105                     -0.42301551
                     110                     -0.28393338
                     115                      -0.1094176
                     120                     0.092864267
                     125                      0.31455248
                     130                      0.54710123
                     135                      0.78218206
                     140                       1.0119711
                     145                       1.2293294
                     150                       1.4278986
                     155                       1.6021352
                     160                       1.7473076
                     165                       1.8594701
                     170                       1.9354285
                     175                       1.9727041
                     180                       1.9695189

