        Theta / deg                Directivity,Phi=45.0/
----------------------------------------------------------------------
                    -180                       1.5280654
                    -175                       1.5578465
                    -170                       1.5295434
                    -165                       1.4426498
                    -160                       1.2968608
                    -155                       1.0920769
                    -150                      0.82843746
                    -145                      0.50640413
                    -140                      0.12692433
                    -135                     -0.30827544
                    -130                     -0.79619243
                    -125                      -1.3317403
                    -120                      -1.9064972
                    -115                      -2.5068855
                    -110                      -3.1118031
                    -105                      -3.6901733
                    -100                      -4.1998343
                     -95                      -4.5904169
                     -90                      -4.8128871
                     -85                      -4.8347303
                     -80                      -4.6529872
                     -75                      -4.2956291
                     -70                      -3.8099919
                     -65                      -3.2472293
                     -60                      -2.6514699
                     -55                      -2.0558656
                     -50                      -1.4831942
                     -45                     -0.94819912
                     -40                      -0.4600226
                     -35                    -0.024130268
                     -30                      0.35634428
                     -25                      0.67972257
                     -20                      0.94523476
                     -15                       1.1526909
                     -10                         1.30229
                      -5                        1.394513
                       0                        1.430067
                       5                       1.4098934
                      10                       1.3350363
                      15                       1.2068102
                      20                       1.0267263
                      25                       0.7965483
                      30                      0.51835744
                      35                      0.19465933
                      40                     -0.17144478
                      45                     -0.57599486
                      50                      -1.0137825
                      55                      -1.4778007
                      60                      -1.9585131
                      65                      -2.4429764
                      70                      -2.9139635
                      75                      -3.3494463
                      80                      -3.7230639
                      85                      -4.0063491
                      90                      -4.1731413
                      95                      -4.2053487
                     100                      -4.0980549
                     105                      -3.8610169
                     110                       -3.515894
                     115                      -3.0907048
                     120                      -2.6142448
                     125                       -2.112305
                     130                       -1.606022
                     135                      -1.1117629
                     140                     -0.64178366
                     145                     -0.20511484
                     150                      0.19160926
                     155                      0.54348368
                     160                       0.8468378
                     165                       1.0988861
                     170                        1.297489
                     175                        1.440991
                     180                       1.5280654

