        Theta / deg                Directivity,Phi=90.0/
----------------------------------------------------------------------
                    -180                       1.3889779
                    -175                       1.4099142
                    -170                       1.3813162
                    -165                       1.3025097
                    -160                       1.1729526
                    -155                      0.99222953
                    -150                      0.76008001
                    -145                      0.47647251
                    -140                      0.14174687
                    -135                     -0.24313813
                    -130                     -0.67619804
                    -125                      -1.1537794
                    -120                      -1.6695819
                    -115                      -2.2132506
                    -110                      -2.7685237
                    -105                      -3.3111889
                    -100                      -3.8076936
                     -95                      -4.2161446
                     -90                      -4.4919198
                     -85                      -4.5985748
                     -80                      -4.5202171
                     -75                      -4.2679725
                     -70                      -3.8754764
                     -65                      -3.3870114
                     -60                      -2.8458387
                     -55                      -2.2874989
                     -50                      -1.7380739
                     -45                      -1.2152692
                     -40                     -0.73041714
                     -35                      -0.2903958
                     -30                      0.10087342
                     -25                      0.44136927
                     -20                      0.73026615
                     -15                      0.96748137
                     -10                       1.1533924
                      -5                       1.2886655
                       0                        1.374156
                       5                       1.4108202
                      10                       1.3998114
                      15                       1.3423393
                      20                       1.2397641
                      25                       1.0936265
                      30                      0.90571379
                      35                      0.67816012
                      40                      0.41358868
                      45                      0.11531174
                      50                     -0.21239786
                      55                     -0.56395229
                      60                     -0.93201294
                      65                      -1.3070052
                      70                      -1.6766725
                      75                      -2.0258476
                      80                      -2.3367214
                      85                      -2.5899435
                      90                       -2.766787
                      95                      -2.8520884
                     100                      -2.8374737
                     105                      -2.7232891
                     110                      -2.5186344
                     115                      -2.2393575
                     120                      -1.9049376
                     125                      -1.5354396
                     130                      -1.1493275
                     135                     -0.76233037
                     140                     -0.38714938
                     145                    -0.033674135
                     150                      0.29057535
                     155                      0.57996067
                     160                      0.83028181
                     165                       1.0384118
                     170                       1.2020117
                     175                       1.3193159
                     180                       1.3889779

