        Theta / deg                Directivity,Phi=90.0/
----------------------------------------------------------------------
                    -180                       2.1922028
                    -175                       2.2567876
                    -170                       2.3059996
                    -165                       2.3402123
                    -160                       2.3601303
                    -155                       2.3667619
                    -150                       2.3613883
                    -145                       2.3455272
                    -140                       2.3208915
                    -135                       2.2893429
                    -130                       2.2528405
                    -125                       2.2133842
                    -120                       2.1729557
                    -115                       2.1334553
                    -110                       2.0966394
                    -105                       2.0640592
                    -100                        2.037004
                     -95                       2.0164521
                     -90                        2.003032
                     -85                       1.9969979
                     -80                       1.9982131
                     -75                       2.0061626
                     -70                       2.0199694
                     -65                       2.0384303
                     -60                       2.0600642
                     -55                       2.0831689
                     -50                        2.105886
                     -45                       2.1262672
                     -40                       2.1423434
                     -35                       2.1521893
                     -30                       2.1539861
                     -25                        2.146078
                     -20                       2.1270225
                     -15                       2.0956348
                     -10                       2.0510259
                      -5                       1.9926338
                       0                       1.9202498
                       5                       1.8340589
                      10                       1.7345363
                      15                       1.6226849
                      20                       1.4998514
                      25                       1.3677764
                      30                       1.2285822
                      35                       1.0847498
                      40                      0.93908375
                      45                      0.79466292
                      50                      0.65477447
                      55                      0.52282927
                      60                      0.40225848
                      65                      0.29639267
                      70                      0.20832769
                      75                      0.14078426
                      80                     0.095971521
                      85                     0.075466554
                      90                      0.08012619
                      95                       0.1100184
                     100                      0.16443598
                     105                       0.2419215
                     110                      0.34035124
                     115                      0.45704864
                     120                      0.58891868
                     125                      0.73259038
                     130                      0.88455612
                     135                       1.0412993
                     140                        1.199405
                     145                       1.3556504
                     150                       1.5070765
                     155                       1.6510407
                     160                       1.7852538
                     165                       1.9078042
                     170                       2.0171708
                     175                       2.1122273
                     180                       2.1922028

