        Theta / deg                Directivity,Phi=90.0/
----------------------------------------------------------------------
                    -180                       2.0817198
                    -175                       2.1483693
                    -170                       2.1979126
                    -165                       2.2307536
                    -160                       2.2476522
                    -155                       2.2496989
                    -150                        2.238285
                    -145                       2.2150683
                    -140                       2.1819338
                    -135                       2.1409487
                    -130                       2.0943106
                    -125                       2.0442897
                    -120                       1.9931647
                    -115                       1.9431532
                    -110                       1.8963387
                    -105                       1.8545964
                    -100                       1.8195217
                     -95                       1.7923651
                     -90                       1.7739778
                     -85                       1.7647748
                     -80                       1.7647079
                     -75                       1.7732738
                     -70                       1.7895307
                     -65                       1.8121402
                     -60                       1.8394248
                     -55                       1.8694382
                     -50                        1.900044
                     -45                       1.9289972
                     -40                       1.9540259
                     -35                       1.9729077
                     -30                       1.9835409
                     -25                       1.9840072
                     -20                       1.9726258
                     -15                       1.9479997
                     -10                       1.9090537
                      -5                       1.8550656
                       0                       1.7856912
                       5                        1.701002
                      10                       1.6014215
                      15                       1.4878587
                      20                       1.3616258
                      25                        1.224461
                      30                       1.0785216
                      35                      0.92636859
                      40                      0.77094013
                      45                      0.61551082
                      50                      0.46363303
                      55                      0.31905643
                      60                      0.18562328
                      65                     0.067138464
                      70                     -0.03278318
                      75                     -0.11088545
                      80                     -0.16444367
                      85                     -0.19142609
                      90                     -0.19062127
                      95                     -0.16174176
                     100                     -0.10542665
                     105                     -0.02322226
                     110                     0.082514968
                     115                      0.20875806
                     120                      0.35197829
                     125                      0.50832472
                     130                      0.67379812
                     135                      0.84440718
                     140                       1.0162999
                     145                       1.1858671
                     150                       1.3498202
                     155                       1.5052445
                     160                       1.6496332
                     165                       1.7809071
                     170                        1.897421
                     175                       1.9979631
                     180                       2.0817198

