        Theta / deg                Directivity,Phi=135.0/
----------------------------------------------------------------------
                    -180                       1.9308083
                    -175                       1.9127955
                    -170                       1.8623252
                    -165                       1.7788027
                    -160                       1.6624169
                    -155                       1.5140875
                    -150                       1.3355209
                    -145                       1.1292858
                    -140                       0.8989103
                    -135                      0.64899939
                    -130                      0.38536078
                    -125                      0.11511739
                    -120                     -0.15323534
                    -115                     -0.40988974
                    -110                     -0.64398393
                    -105                     -0.84413641
                    -100                     -0.99929721
                     -95                      -1.0998656
                     -90                      -1.1388988
                     -85                      -1.1131278
                     -80                      -1.0234881
                     -75                     -0.87498665
                     -70                     -0.67595395
                     -65                     -0.43690952
                     -60                     -0.16934923
                     -55                      0.11529465
                     -50                      0.40639217
                     -45                      0.69454216
                     -40                      0.97174587
                     -35                       1.2314109
                     -30                       1.4682603
                     -25                       1.6782023
                     -20                       1.8581942
                     -15                       2.0061189
                     -10                       2.1206817
                      -5                       2.2013268
                       0                       2.2482137
                       5                       2.2620062
                      10                       2.2440561
                      15                       2.1962488
                      20                       2.1209736
                      25                       2.0211006
                      30                       1.8999428
                      35                       1.7612103
                      40                       1.6089573
                      45                       1.4475168
                      50                       1.2814255
                      55                        1.115336
                      60                      0.95391871
                      65                      0.80175262
                      70                      0.66320821
                      75                       0.5423242
                      80                      0.44268128
                      85                      0.36727722
                      90                      0.31840981
                      95                      0.29756667
                     100                      0.30534733
                     105                      0.34140547
                     110                      0.40443292
                     115                      0.49218646
                     120                      0.60155978
                     125                      0.72869772
                     130                      0.86914465
                     135                       1.0180156
                     140                       1.1701766
                     145                       1.3204217
                     150                       1.4636357
                     155                       1.5949358
                     160                       1.7097889
                     165                       1.8041026
                     170                       1.8742948
                     175                       1.9173425
                     180                       1.9308083

