        Theta / deg                Directivity,Phi=45.0/
----------------------------------------------------------------------
                    -180                       2.3566485
                    -175                       2.4342071
                    -170                       2.4340337
                    -165                       2.3566646
                    -160                       2.2026686
                    -155                       1.9726708
                    -150                       1.6673928
                    -145                        1.287738
                    -140                      0.83497377
                    -135                      0.31109369
                    -130                     -0.28050053
                    -125                     -0.93377312
                    -120                      -1.6379551
                    -115                      -2.3741818
                    -110                      -3.1107094
                    -105                      -3.7976776
                    -100                      -4.3652316
                     -95                      -4.7325243
                     -90                      -4.8331632
                     -85                      -4.6468631
                     -80                      -4.2109236
                     -75                      -3.5998582
                     -70                      -2.8932073
                     -65                      -2.1550729
                     -60                       -1.429375
                     -55                     -0.74341318
                     -50                     -0.11320074
                     -45                      0.45216206
                     -40                      0.94754824
                     -35                       1.3700099
                     -30                       1.7177448
                     -25                       1.9895268
                     -20                       2.1844054
                     -15                       2.3015554
                     -10                       2.3402044
                      -5                       2.2995942
                       0                        2.178951
                       5                       1.9775997
                      10                         1.69432
                      15                       1.3280582
                      20                      0.87726244
                      25                      0.33977501
                      30                     -0.28749479
                      35                      -1.0090388
                      40                      -1.8314209
                      45                      -2.7642455
                      50                      -3.8215698
                      55                      -5.0239721
                      60                      -6.4015312
                      65                      -7.9977112
                      70                      -9.8721147
                      75                       -12.08838
                      80                      -14.611132
                      85                      -16.812762
                      90                      -16.930081
                      95                      -14.837345
                     100                      -12.320437
                     105                      -10.092005
                     110                      -8.2069546
                     115                      -6.6028786
                     120                      -5.2186147
                     125                      -4.0091665
                     130                       -2.943324
                     135                      -1.9997425
                     140                      -1.1638821
                     145                     -0.42587166
                     150                       0.2209548
                     155                      0.78106597
                     160                        1.257436
                     165                       1.6520389
                     170                       1.9661986
                     175                       2.2008353
                     180                       2.3566485

