        Theta / deg                Directivity,Phi=135.0/
----------------------------------------------------------------------
                    -180                       2.3734997
                    -175                       2.3150225
                    -170                       2.2284185
                    -165                       2.1150367
                    -160                       1.9769085
                    -155                       1.8167022
                    -150                       1.6376988
                    -145                       1.4437566
                    -140                       1.2392624
                    -135                       1.0290638
                    -130                      0.81837991
                    -125                      0.61268663
                    -120                      0.41757424
                    -115                      0.23857703
                    -110                     0.080978342
                    -105                    -0.050401638
                    -100                     -0.15142308
                     -95                     -0.21883237
                     -90                     -0.25043766
                     -85                     -0.24523594
                     -80                     -0.20347312
                     -75                     -0.12663886
                     -70                    -0.017382081
                     -65                      0.12063158
                     -60                      0.28290991
                     -55                      0.46435147
                     -50                      0.65947069
                     -45                      0.86261442
                     -40                       1.0681578
                     -35                       1.2706724
                     -30                       1.4650642
                     -25                        1.646682
                     -20                        1.811399
                     -15                       1.9556722
                     -10                       2.0765833
                      -5                       2.1718656
                       0                       2.2399405
                       5                       2.2798255
                      10                        2.291333
                      15                       2.2748878
                      20                       2.2316042
                      25                       2.1632654
                      30                       2.0723137
                      35                       1.9618329
                      40                       1.8355217
                      45                       1.6976516
                      50                        1.553003
                      55                       1.4067719
                      60                       1.2644373
                      65                       1.1315857
                      70                       1.0136876
                      75                      0.91583524
                      80                      0.84245473
                      85                      0.79702131
                      90                      0.78181261
                      95                      0.79772937
                     100                      0.84422649
                     105                         0.91935
                     110                       1.0198845
                     115                       1.1415836
                     120                        1.279449
                     125                       1.4280233
                     130                       1.5816652
                     135                       1.7347879
                     140                       1.8820516
                     145                       2.0185092
                     150                       2.1397109
                     155                       2.2417754
                     160                       2.3214358
                     165                       2.3760679
                     170                       2.4037065
                     175                       2.4030544
                     180                       2.3734997

