        Theta / deg                Directivity,Phi=135.0/
----------------------------------------------------------------------
                    -180                       1.5098659
                    -175                       1.5889449
                    -170                       1.6741482
                    -165                        1.762763
                    -160                       1.8519234
                    -155                       1.9388448
                    -150                       2.0210278
                    -145                       2.0964104
                    -140                       2.1634589
                    -135                       2.2212001
                    -130                        2.269201
                    -125                       2.3075084
                    -120                       2.3365577
                    -115                       2.3570639
                    -110                        2.369903
                    -105                       2.3759959
                    -100                       2.3761999
                     -95                       2.3712179
                     -90                       2.3615309
                     -85                       2.3473579
                     -80                       2.3286465
                     -75                       2.3050926
                     -70                       2.2761969
                     -65                       2.2413427
                     -60                       2.1998956
                     -55                       2.1513184
                     -50                       2.0952904
                     -45                       2.0318226
                     -40                       1.9613568
                     -35                       1.8848372
                     -30                       1.8037401
                     -25                       1.7200503
                     -20                       1.6361746
                     -15                       1.5547894
                     -10                       1.4786292
                      -5                       1.4102375
                       0                       1.3517755
                       5                        1.304565
                      10                       1.2692483
                      15                       1.2456311
                      20                       1.2327071
                      25                        1.228852
                      30                       1.2320477
                      35                       1.2401261
                      40                       1.2509934
                      45                       1.2628076
                      50                       1.2740954
                      55                       1.2838044
                      60                       1.2913006
                      65                        1.296321
                      70                       1.2988976
                      75                        1.299267
                      80                       1.2977776
                      85                       1.2948069
                      90                       1.2906966
                      95                       1.2857155
                     100                       1.2800379
                     105                       1.2737687
                     110                       1.2669822
                     115                       1.2597859
                     120                       1.2523967
                     125                       1.2452202
                     130                       1.2389193
                     135                       1.2344591
                     140                       1.2331137
                     145                       1.2364233
                     150                        1.246094
                     155                       1.2638438
                     160                       1.2912064
                     165                       1.3293186
                     170                       1.3787268
                     175                       1.4392468
                     180                       1.5098659

