        Theta / deg                Directivity,Phi=90.0/
----------------------------------------------------------------------
                    -180                       2.3779745
                    -175                       2.4730486
                    -170                       2.5434124
                    -165                       2.5901591
                    -160                       2.6147606
                    -155                       2.6190468
                    -150                       2.6051833
                    -145                       2.5756429
                    -140                       2.5331713
                    -135                       2.4807416
                    -130                       2.4214956
                    -125                       2.3586713
                    -120                       2.2955146
                    -115                       2.2351753
                    -110                       2.1805931
                    -105                       2.1343764
                    -100                       2.0986834
                     -95                       2.0751159
                     -90                       2.0646343
                     -85                       2.0675059
                     -80                        2.083286
                     -75                       2.1108449
                     -70                       2.1484278
                     -65                       2.1937456
                     -60                        2.244086
                     -55                       2.2964349
                     -50                       2.3475986
                     -45                       2.3943184
                     -40                       2.4333724
                     -35                       2.4616626
                     -30                        2.476286
                     -25                       2.4745909
                     -20                       2.4542216
                     -15                       2.4131521
                     -10                       2.3497143
                      -5                       2.2626218
                       0                       2.1509928
                       5                       2.0143708
                      10                       1.8527385
                      15                       1.6666307
                      20                       1.4571009
                      25                       1.2258125
                      30                      0.97511655
                      35                      0.70814475
                      40                      0.42891327
                      45                      0.14242799
                      50                     -0.14522865
                      55                     -0.42686076
                      60                     -0.69421772
                      65                      -0.9382038
                      70                       -1.149291
                      75                      -1.3181596
                      80                      -1.4365338
                      85                      -1.4980962
                      90                      -1.4992886
                      95                      -1.4398389
                     100                      -1.3227604
                     105                      -1.1539529
                     110                     -0.94142866
                     115                     -0.69440136
                     120                     -0.42242724
                     125                      -0.1347272
                     130                      0.16026381
                     135                      0.45513729
                     140                       0.7435909
                     145                       1.0204036
                     150                        1.281354
                     155                       1.5231157
                     160                       1.7431518
                     165                       1.9396186
                     170                       2.1112854
                     175                       2.2574685
                     180                       2.3779745

