23.55,13.0,1.0
23.55,13.0,1.25
23.55,13.0,1.5
23.55,13.0,1.75
23.55,13.0,2.0
23.55,13.0,2.25
23.55,13.0,2.5
23.55,13.0,2.75
23.55,13.0,3.0
23.55,14.0,0.5
23.55,14.0,0.75
23.55,14.0,1.0
23.55,14.0,1.25
23.55,14.0,1.5
23.55,14.0,1.75
23.55,14.0,2.0
23.55,14.0,2.25
23.55,14.0,2.5
23.55,14.0,2.75
23.55,14.0,3.0
23.55,15.0,0.5
23.55,15.0,0.75
23.55,15.0,1.0
23.55,15.0,1.25
23.55,15.0,1.5
23.55,15.0,1.75
23.55,15.0,2.0
23.55,15.0,2.25
23.55,15.0,2.5
23.55,15.0,2.75
23.55,15.0,3.0
31.4,4.0,0.5
31.4,4.0,0.75
31.4,4.0,1.0
31.4,4.0,1.25
31.4,4.0,1.5
31.4,4.0,1.75
31.4,4.0,2.0
31.4,4.0,2.25
31.4,4.0,2.5
31.4,4.0,2.75
31.4,4.0,3.0
31.4,5.0,0.5
31.4,5.0,0.75
31.4,5.0,1.0
31.4,5.0,1.25
31.4,5.0,1.5
31.4,5.0,1.75
31.4,5.0,2.0
31.4,5.0,2.25
31.4,5.0,2.5
31.4,5.0,2.75
31.4,5.0,3.0
31.4,6.0,0.5
31.4,6.0,0.75
31.4,6.0,1.0
31.4,6.0,1.25
31.4,6.0,1.5
31.4,6.0,1.75
31.4,6.0,2.0
31.4,6.0,2.25
31.4,6.0,2.5
31.4,6.0,2.75
31.4,6.0,3.0
31.4,7.0,0.5
31.4,7.0,0.75
31.4,7.0,1.0
31.4,7.0,1.25
31.4,7.0,1.5
31.4,7.0,1.75
31.4,7.0,2.0
31.4,7.0,2.25
31.4,7.0,2.5
31.4,7.0,2.75
31.4,7.0,3.0
31.4,8.0,0.5
31.4,8.0,0.75
31.4,8.0,1.0
31.4,8.0,1.25
31.4,8.0,1.5
31.4,8.0,1.75
31.4,8.0,2.0
31.4,8.0,2.25
31.4,8.0,2.5
31.4,8.0,2.75
31.4,8.0,3.0
31.4,9.0,0.5
31.4,9.0,0.75
31.4,9.0,1.0
31.4,9.0,1.25
31.4,9.0,1.5
31.4,9.0,1.75
31.4,9.0,2.0
31.4,9.0,2.25
31.4,9.0,2.5
31.4,9.0,2.75
31.4,9.0,3.0
31.4,10.0,0.5
31.4,10.0,0.75
31.4,10.0,1.0
31.4,10.0,1.25
31.4,10.0,1.5
31.4,10.0,1.75
31.4,10.0,2.0
31.4,10.0,2.25
31.4,10.0,2.5
31.4,10.0,2.75
31.4,10.0,3.0
31.4,11.0,0.5
31.4,11.0,0.75
31.4,11.0,1.0
31.4,11.0,1.25
31.4,11.0,1.5
31.4,11.0,1.75
31.4,11.0,2.0
31.4,11.0,2.25
31.4,11.0,2.5
31.4,11.0,2.75
31.4,11.0,3.0
31.4,12.0,0.5
31.4,12.0,0.75
31.4,12.0,1.0
31.4,12.0,1.25
31.4,12.0,1.5
31.4,12.0,1.75
31.4,12.0,2.0
31.4,12.0,2.25
31.4,12.0,2.5
31.4,12.0,2.75
31.4,12.0,3.0
31.4,13.0,0.5
31.4,13.0,0.75
31.4,13.0,1.0
31.4,13.0,1.25
31.4,13.0,1.5
31.4,13.0,1.75
31.4,13.0,2.0
31.4,13.0,2.25
31.4,13.0,2.5
31.4,13.0,2.75
31.4,13.0,3.0
31.4,14.0,0.5
31.4,14.0,0.75
31.4,14.0,1.0
31.4,14.0,1.25
31.4,14.0,1.5
31.4,14.0,1.75
31.4,14.0,2.0
31.4,14.0,2.25
31.4,14.0,2.5
31.4,14.0,2.75
31.4,14.0,3.0
31.4,15.0,0.5
31.4,15.0,0.75
31.4,15.0,1.0
31.4,15.0,1.25
31.4,15.0,1.5
31.4,15.0,1.75
31.4,15.0,2.0
31.4,15.0,2.25
31.4,15.0,2.5
31.4,15.0,2.75
31.4,15.0,3.0
39.25,4.0,0.5
39.25,4.0,0.75
39.25,4.0,1.0
39.25,4.0,1.25
39.25,4.0,1.5
39.25,4.0,1.75
39.25,4.0,2.0
39.25,4.0,2.25
39.25,4.0,2.5
39.25,4.0,2.75
39.25,4.0,3.0
39.25,5.0,0.5
39.25,5.0,0.75
39.25,5.0,1.0
39.25,5.0,1.25
39.25,5.0,1.5
39.25,5.0,1.75
39.25,5.0,2.0
39.25,5.0,2.25
39.25,5.0,2.5
39.25,5.0,2.75
39.25,5.0,3.0
39.25,6.0,0.5
39.25,6.0,0.75
39.25,6.0,1.0
39.25,6.0,1.25
39.25,6.0,1.5
39.25,6.0,1.75
39.25,6.0,2.0
39.25,6.0,2.25
39.25,6.0,2.5
39.25,6.0,2.75
39.25,6.0,3.0
39.25,7.0,0.5
39.25,7.0,0.75
39.25,7.0,1.0
39.25,7.0,1.25
39.25,7.0,1.5
39.25,7.0,1.75
39.25,7.0,2.0
39.25,7.0,2.25
39.25,7.0,2.5
39.25,7.0,2.75
39.25,7.0,3.0
39.25,8.0,0.5
39.25,8.0,0.75
39.25,8.0,1.0
